区域,上海,餐饮类型,火锅,店铺id,61998,店铺名称,重庆临江门老火锅（七莘路店）,经度,121.34708,纬度,31.158077
用户,星级,评论时间,评论
匿名用户,5.0,2016-09-25 16:18:00,很好不错，一直吃他们家的，跟赚
JDL753063740,5.0,2016-09-29 13:36:00,便宜划算，很好吃，挺适合大众消费，
lda136738888,5.0,2016-07-17 17:33:02,晚上5点多去吃，三口团购，团购菜品还算新鲜，又点了一些青菜和菌菇，蘸料自己调配，配料很多，碳酸饮料随意，挺好的。不厚人性化的就是米饭2元一碗，与调料小碗一样大，这个量怎么能称为一碗饭，还不免费续！总体孩子吃得高兴就好！
Shirley991226,4.0,2016-08-29 08:23:32,每次去都要排队，调料很多可供选择，辣的过瘾！
叶少0818,4.0,2016-08-27 19:33:20,都不错、就是地方小了点，而且价格越贵
kelvin115,4.0,2016-08-19 11:10:25,火锅味道正宗，喜欢那里的午餐肉，免费送酸梅汁，下次再来
晨筱睿,3.0,2016-08-29 12:17:34,大不如以前啊！卫生让人担忧，竟然有虫子
ljhlz2015,3.0,2016-08-30 13:41:14,挺好的，中午吃人少，安静呵呵。
文轩地藏,3.0,2016-08-25 12:32:38,团购的套餐，分量还行，就是菜品种类少，建议以后减少菜品的分量，增加菜品种类
哥不帥但很壞,4.0,2016-08-20 05:37:36,偶尔的一次路过 ！感觉还不错！  味道很好！
游理子,2.0,2016-08-16 20:20:17,味道不如以前了不说，还涨价好多，一个大人两个孩子吃一顿要三百多。实在太贵了。又不好吃。还不如去吃香天下了。
AuK381802553,5.0,2016-08-26 15:09:05,服务一流没得挑，是他们家的老顾客了
AuK381802553,5.0,2016-08-26 15:09:45,服务一流没得挑，是他们家老顾客了
性格直率有啥说啥,4.0,2016-07-29 10:19:41,经常去吃，熟悉的味道，过生日都要约朋友一起去吃哈哈你说多爱\(^o^)/
匿名用户,3.0,2016-08-03 23:30:34,很爱吃火锅，就选择了这家。味道还是很不错的，中辣煮到后面超级辣的，菜价还是有点小贵的，量也不多，服务态度一般，多学学海底捞的服务态度，保证以后生意会越来越红火
陋主绿了,1.0,2016-08-22 08:59:15,味道不行，冻货都干了，楼下还有人睡觉在大呼噜声音超大
JMDQB,2.0,2016-08-22 16:16:20,还行吧！环境不怎么样。很多还是需要改善
Xiang802313,3.0,2016-08-18 22:09:36,服务还是可以的，点的鸳鸯锅！正好符合我和朋友的口味！
xgo870921470,1.0,2016-08-23 10:52:35,太贵了。而且辣的发苦。难吃难吃
轩唐,2.0,2016-08-16 23:11:51,一般吧，不怎么好吃了！环境什么的都不太好
我快乐故我在,5.0,2016-08-15 11:55:33,可惜没有了，超级喜欢吃，以后没地方吃了😭
ZYz313185423,4.0,2016-08-09 10:50:06,我和我老婆一直去的一家火锅店，味道还算不错，价格比较实惠
匿名用户,3.0,2016-08-15 12:15:07,经常去吃还行，服务态度也不错，
张颜彬彬,4.0,2016-08-12 14:31:43,还不错，去过俩三次了，值得推荐
Ashely小樱桃,4.0,2016-08-12 11:51:39,"很实惠 也很清淡 不错的选择
啦啦啦啦啊啦啦啊啦啦"
呀ii啊秦,2.0,2016-08-10 19:18:04,性價比不是很高，如果再有優惠就更好了
匿名用户,3.0,2016-08-08 07:34:03,一直去吃的，是这里的常客，味道不错，正宗！
LiupcMr,2.0,2016-08-06 11:18:10,人比较多，味道一般般，除了辣没什么啦
ytmfihc100,3.0,2016-08-04 19:47:34,不怎么好吃，味道就那样！反正不想去吃下次了！
ljhlz2015,4.0,2016-08-07 17:40:19,来了很多次了，这家老店了。味道不错，
简慧22,3.0,2016-07-27 10:15:00,以前的时候经常去，团购，两个人和同事经常过去，现在活动结束了，很遗憾，还希望又活动
gKX462638821,4.0,2016-08-06 18:04:03,口味不错，服务态度好，还会再来
落落未风,4.0,2016-07-27 12:12:13,找这家火锅店找了一会儿，味道还行！量也不错！就是送的饮料未到有点淡！
AuK381802553,4.0,2016-08-03 15:20:19,每次吃的水煮鱼火锅，两个人吃的好饱
匿名用户,4.0,2016-07-26 17:30:52,味道还挺好的，三个人一起来吃的，点多了点没吃完，感觉有点小贵
匿名用户,3.0,2016-07-28 08:52:43,有段时间没吃了，口味变得很辣。
mkceolrl,3.0,2016-07-27 23:52:01,总体来说还可以，就是真心辣呀，呵呵
Lvtu1984,5.0,2016-07-22 18:14:29,味道真的不错，环境很好，服务态度也好
Lvtu1984,5.0,2016-07-22 18:15:16,菜很好吃，味道又好，下次还会去，
sweet影子,2.0,2016-04-04 15:29:09,菜品口感一般，油很厚，煮到最后有些苦味，我们7个人点了一个团购，再点了一些菜，鸳鸯火锅底料，份量还行，就是位子太小，我们开始一个长桌位子不够，服务员大姐挺好，最后帮我们换到圆桌，但是位子也很挤，空间太小，空气不流通，所以很闷人，所以吃着吃着就没食欲了……
Qweabc147,2.0,2016-07-21 06:33:19,服务还0k的，莱一般的，味道一般
qxf2011,3.0,2016-07-17 15:54:43,还行吧，时间久了，有的菜记不住了。
匿名用户,5.0,2016-07-18 09:33:42,很好吃的一家火锅，每次都是来的这里吃
水仙312,3.0,2016-05-04 11:38:00,没有套餐划算，代金卷贵…为什么一定要什么字？没有套餐划算，代金卷贵…为什么一定要什么字？没有套餐划算，代金卷贵…为什么一定要什么字？没有套餐划算，代金卷贵…为什么一定要什么字？没有套餐划算，代金卷贵…为什么一定要什么字？没有套餐划算，代金卷贵…为什么一定要什么字？
冰翼琪,5.0,2016-07-11 14:10:33,好吃的，可是莘庄店已经关门了，呜呜
珠珠1986827,3.0,2016-07-10 21:43:59,口味还是不错的，重庆口味，就是价格有点偏贵了，环境还行。
匿名用户,3.0,2016-06-03 19:43:14,地方太窄了，能放宝宝椅子的桌子太少了，服务还可以，味道不错，就是第二天我们三个都拉肚子了，可能是吃辣的吃的过瘾。锅底很好，不带孩子的情况下还可以再去。
雨季025,5.0,2016-05-16 19:05:06,来上海第一次吃火锅，味道巴适，可以下次还来。
珠珠1986827,3.0,2016-07-10 21:42:30,味道不错的。价格偏贵了一点。总体来说还行。
QES423831667,4.0,2016-07-10 10:26:04,服务很好，菜品丰富，味道还不错。
HDP166691857,3.0,2016-07-02 14:53:57,吃过几次了，因为距离比较近，想吃火锅的时候就会过去，总体来说还可以
Qy644245,4.0,2016-07-08 14:20:48,非常好吃，服务很好，下次还会在来的。
feng0795,2.0,2016-07-06 21:27:19,味道一般，在装修。环境一般。。
UYf449299163,3.0,2016-06-21 22:46:10,作为重庆人感觉味道还不错 强烈推荐蛋炒饭！很好吃
INr855232081,1.0,2016-07-01 23:46:27,味道不好，服务差，还不给发票，差评差评
吃吃吃吃才完美,3.0,2016-06-12 23:11:38,味道不错。临时有事要打包但店里不让说红汤不可以问为什么也不说。估计是要回收吧。
CkB558771534,4.0,2016-06-15 18:50:40,店的位置很方便，店里吃的东西蛮好，锅底挑选种类挺多的
Twentyalice,5.0,2016-06-18 16:19:20,味道不错，价格适中，服务态度也很好.
NTM184682061,3.0,2016-06-18 19:03:08,食物都挺新鲜的，环境也很好，服务一般。
请叫我宋先森,5.0,2016-05-31 15:36:56,味道很不错。还用了团购券，所以特别合算，嗯团了一个108的团购券是4个人的套餐然后刚开始觉得会很少不够吃，实际上再点点就够了，哈哈哈哈哈！
恬恬的甜,4.0,2016-06-25 20:01:21,味道不错，也很实惠但是可乐味道太难喝了加了水
匿名用户,4.0,2016-06-16 15:26:22,一直觉得不错，去过呢好多次，吃成火锅达人了
匿名用户,5.0,2016-06-13 21:02:50,常客了，还是一如既往的好，价格实惠，菜式新鲜。
hiz820245051,4.0,2016-06-19 15:22:56,吃了好几次了，没有失望过，值得推荐
Grk638758188,2.0,2016-06-13 21:52:54,团购简直缩水啊。 味道还可以就是服务员老找不着
