区域,北京,餐饮类型,烧烤烤串,店铺id,42081214,店铺名称,韩时烤肉（枫蓝国际购物中心店）,经度,116.356607,纬度,39.952606
fairy41255,4,果然烤肉比之前吃的石锅拌饭好太多，服务员烤肉，专注于吃就好了，牛肉可以选择几分熟，相当不错,,,,,,,,,
倒霉的天才,5,五花肉，调味五花，牛肉都挺好吃,,,,,,,,,
sdygzzb,5,绝对的好吃啦，跟老公儿子吃的很饱！,,,,,,,,,
oKC363827989,4,第一次吃，感觉还不错，服务很好！,,,,,,,,,
匿名用户,5,味道和服务都相当好，服务员苏悦服务特别热情周到，谢谢,,,,,,,,,
Ddv644438380,5,经常来吃 烤肉不错 但是冷面可能不是强项,,,,,,,,,
杨嘉欣544,5,服务好 小菜上好多都挺好吃的 就是泡菜汤一般,,,,,,,,,
syi759779923,3,带老人孩子去的，服务不错。还会去。,,,,,,,,,
dcS293034518,5,服务很好 很好吃 就是有点小贵,,,,,,,,,
mlj433184214,4,大酱汤有点咸。，，，，。。。。,,,,,,,,,
FeNGsHuO..,4,位置还好，菜上的很快，菜量一般口味不错，服务员态度很好，帮着烤的肉很好吃，推荐大家来试试,,,,,,,,,
匿名用户,3,干净，服务态度很好，排队3分钟,,,,,,,,,
LSP713778995,4,味道不错，就是肉品少了点，服务不错。#鲜五花肉# #南瓜粥#,,,,,,,,,
匿名用户,5,肉品质非常好，服务员推荐的套餐价格很实惠。一行四人都吃撑了。苏子叶无限量供应，配着烤肉吃很提味。,,,,,,,,,
slw877377875,5,一如既往地支持与喜欢，口味与韩国正宗烤肉味道相近,,,,,,,,,
cw陈卫,4,挺好的，肉也很好吃。服务态度也不错,,,,,,,,,
yulonggongzi,5,石锅拌饭和牛肉面味道都不错！南瓜粥免费喝，每次都是喝好几碗,,,,,,,,,
jbpost,5,第二次来了，还是很满意。肉质新鲜，服务周到,,,,,,,,,
cJB650941589,4,很好。免费的南瓜粥和咸菜～～～,,,,,,,,,
lmnh333,3,五花肉很好，小菜可口，服务热情，环境优美，团购物有所值,,,,,,,,,
enx934564658,3,环境很好。。吃的不错。服务态度非常热情。,,,,,,,,,
lixiaofeng_114,5,#韩时五花肉# #特级牛五花肉# 新店开张，店面很大，延续了老店小菜的服务，不错。过生日送的长寿面，还放了小西红柿雕的小兔子，很有新意。,,,,,,,,,
brittany19831201,4,味道不错，推荐牛舌，调味五花肉，还有泡菜饼！,,,,,,,,,
eoS628613494,3,味道不错，菜量充足，环境整洁。,,,,,,,,,
匿名用户,5,服务热情，菜品好，还会再来！！,,,,,,,,,
yulonggongzi,5,石锅拌饭味道很好吃！每一种都试过，南瓜粥喝到撑，太好喝了！,,,,,,,,,
Quinna89,4,服务员会帮忙烤肉，懒人最爱，价格略贵,,,,,,,,,
eoS628613494,3,上菜速度适宜、菜量充足、烤五花味道不错,,,,,,,,,
zz5758,3,五花肉好吃，其他的一般吧，环境很好，服务周到，套餐量很足，三个人吃得很饱。下次主吃五花肉。,,,,,,,,,
马梓曈,5,午餐必去之处.主食都吃过了，口味偏重,,,,,,,,,
LVg320687502,5,非常满意，满意，赞赞，32个赞赞,,,,,,,,,
Quinna89,4,小菜可以随意加，南瓜羹很不错，烤肉也赞,,,,,,,,,
welldingding,4,去得比较早，没有排队还给了个比较大的桌子。服务还不错，忙起来店长都亲自烤肉，感觉整个店态度都比较和谐。,,,,,,,,,
匿名用户,5,南瓜粥特赞！很正宗的烤肉，肉质也都很精！推荐！,,,,,,,,,
天狼之星,5,大家还用说那！经常过来。变来坐坐！！！,,,,,,,,,
aeincx,4,感觉还行，服务不错，很是周到，推荐品尝,,,,,,,,,
wzg1800,5,味道好，服务好，环境好，下次还会来。,,,,,,,,,
qazqwerr,5,没吃烤肉，点的饭，饭微贵，种类较少，还说我评价重复,,,,,,,,,
qazqwerr,5,没吃烤肉，点的饭，饭微贵，种类较少，就重复怎么地,,,,,,,,,
小小艾0704,3,还算还不错呦！我也不知道说什么了,,,,,,,,,
Super昕,5,三个人吃很划算～会再来滴～～～,,,,,,,,,
ZhO757903447,4,味道不错！五花肉是特色，南瓜粥好喝！服务到位,,,,,,,,,
zhf_yes,1,团购75的代金券，消费99元，非要强制消费超过100才让用代金券，什么系统不支持。太坑爹了，不要都不行。,,,,,,,,,
梦想中的小蜗牛,4,挺好吃的，感觉像去到韩国啦，哈哈,,,,,,,,,
herobigball,5,一直看同事传照片 今天终于来了一次 五花肉不错,,,,,,,,,
JMf720511252,2,味道不错，不过团购套餐里小碗酱汤里的蛤蜊没有洗干净吃了一嘴沙子，和商量说了给换了一碗,,,,,,,,,
Shiminnie,5,第一次体验非常棒！烤肉很正宗，美味，服务也非常好！,,,,,,,,,
mashunqin,5,在丰南国际你的味道还不错他的去看看吧,,,,,,,,,
涵涵的小熊1997,4,服务态度特别好，团购后价格也不贵，,,,,,,,,,
ZhO757903447,4,味道不错，五花肉是特色，南瓜粥好喝！,,,,,,,,,
复古味道的米饭,5,强烈推荐，光顾过蓝港和西直门的都很满意,,,,,,,,,
oTE631944179,4,味道不错，服务也很好，就是比较慢,,,,,,,,,
qazqwerr,5,没吃烤肉，点的饭，饭微贵，种类较少,,,,,,,,,
cassie515,5,服务很好，南瓜粥和调味酱、生菜无限量，土豆饼，泡菜炒饭，酱汤都很好！！,,,,,,,,,
爱吃香蕉布丁,4,位置很好找 服务员很热情 味道不错,,,,,,,,,
蓝悟空,3,感觉很好，五花肉好吃不腻，点的套餐,,,,,,,,,
pSX521170233,5,新开的，在家附近，环境不错，让人满意的是肉都是服务员帮忙烤好，挺好吃的，肉像韩剧里的厚厚的，团购俩人吃挺撑。,,,,,,,,,
爱吃香蕉布丁,4,服务态度很好 环境很干净 还挺好吃的,,,,,,,,,
cassie515,5,枫蓝店开业，十几个朋友一起去的，服务好，烤肉还是最喜欢五花肉！！,,,,,,,,,
Super昕,5,味道不错，就是有一些贵啦～～～,,,,,,,,,
linnewton,4,服务非常好，味道也不错！下次还来。团购比店里套餐便宜10块还多一个泡菜炒饭，非常好,,,,,,,,,
flam789,4,环境很好但是口味一般哦，服务态度很好。,,,,,,,,,
qianqian_2000,3,上菜速度很快，但石锅饭和炸黄鱼有点凉,,,,,,,,,
FrederikkeSofie,4,味道不错，三个人吃的很饱，泡菜炒饭和酱汤的饭是一个，配着酱汤吃了，就没有炒饭了。,,,,,,,,,
马梓曈,5,他们家的泡菜汤非常非常好喝。小菜也很好吃，而且不限量.服务态度一直都很好，希望保持哦。,,,,,,,,,
iOI403140446,5,真的太棒了真的我的天呐！好棒！吃好饱呵呵呵！,,,,,,,,,
sharkxyw,4,人不多服务不错，很热情。期待更好。,,,,,,,,,
匿名用户,3,总体感觉不错，店员帮助烤肉，吃饭的节奏不是太爽。,,,,,,,,,
大萌萌萌爱通,5,店里环境干净整洁，服务员服务非常周到，菜也很新鲜，总之是非常满意,,,,,,,,,
匿名用户,5,味道挺好，服务生帮忙烤肉，服务挺主动,,,,,,,,,
kiki46,3,人挺多的，味道非常好，服务不错，下次回顾！,,,,,,,,,
flam789,4,环境非常好，很干净，服务态度也很好,,,,,,,,,
jackjj01,3,还好来了就有位置，上菜速度较快，菜量小较精细，口味比较不错,,,,,,,,,
zls198531,5,不错，服务态度好，环境好，下回带朋友来，好吃,,,,,,,,,
匿名用户,3,刚开的店去尝尝鲜，跟别的韩式烤肉还不太一样，居然是服务员给烤，经常等不及，不知烤炉摆在客人面前的意义何在。。,,,,,,,,,
Tur678378752,3,还可以吧，团购的两人没吃了，环境服务都可以，味道没有太惊艳，但也可以,,,,,,,,,
匿名用户,3,还行吧，新开的，服务都是比较到位的啦。菜也还行。,,,,,,,,,
jackjj01,3,不错哦来了就有位置，上菜速度较快，服务不错，味道满意,,,,,,,,,
匿名用户,2,五花肉可以的，厚度刚刚好，..,,,,,,,,,
匿名用户,5,相当好的店，烤肉很好吃，服务态度特别好，赞,,,,,,,,,
马梓曈,5,服务很好！菜品很好！就是午餐排队有些慢.可以理解毕竟大家都是工作餐,,,,,,,,,
匿名用户,5,味道真心不错，服务也很好，环境也不错，以后再来,,,,,,,,,
匿名用户,5,强烈推荐，服务特别好，而且很好吃，尤其五花肉,,,,,,,,,
Dmp43016923,5,服务热情周到，上菜很快点店员也都很好，值得一去,,,,,,,,,
菲菲菲ffff,4,环境味道都很赞，推荐！团购很合适！,,,,,,,,,
qMK842578170,5,服务周到，赠送的小菜不限量，环境好,,,,,,,,,
矫雪冰,5,一如既往的好吃～烤肉服务态度好！,,,,,,,,,
马梓曈,5,是我们每天工作餐的必经之处，也是我们必吃的地方。服务和菜品都很好,,,,,,,,,
Candydynasty,5,好吃，特别喜欢鲜五花，吃了3盘。。。。服务态度也超好,,,,,,,,,
匿名用户,5,服务很热情，烤肉很专业，口味还不错，尤其是鲜五花肉超好吃！,,,,,,,,,
匿名用户,3,口味可以 价格偏高 服务有待提高,,,,,,,,,
xiaoliujia,2,增的小菜和南瓜粥好吃。肉少了点，只给了三片肉，不是四片。,,,,,,,,,
LuH443407714,3,晚上人多的时候确定，等了挺长时间的，服务很好，味道也还行。,,,,,,,,,
Fian～Fan,3,为了冷面去吃的，汤过甜，不是很喜欢环境还可以,,,,,,,,,
蓝色雨danmit123,4,很好 帅哥服务很不错 实惠 我们坐在里面 有点热而已,,,,,,,,,
iMissBunny,4,部队火锅部队火锅部队火锅好吃的说三遍！,,,,,,,,,
Candydynasty,5,很棒，主要是服务很棒！店主还来亲自动手烤肉了！w(°ｏ°)w,,,,,,,,,
xeR800579134,4,她家服务特别好，服务员超级勤快，不过有点小贵，夏天吃有点热！,,,,,,,,,
匿名用户,5,超好吃，服务员给烤，肉很嫩，卷着生菜吃，美味，服务好！,,,,,,,,,
芯婗,5,非常的美味佳肴，精品中的精品，服务态度好,,,,,,,,,
HIw953859186,4,在枫蓝吃的，感觉不错，服务比蓝港店好多了，菜品也好,,,,,,,,,
vgc13502002153,4,味道挺好，冷面很好吃，就是拌饭一般，其实也还好,,,,,,,,,
倒霉的天才,4,新来的，还不错，上菜也挺快的。,,,,,,,,,
jackjj01,3,不错哦，套餐和单点的菜量一样多,,,,,,,,,
匿名用户,4,味道不错，服务很好，小菜南瓜粥等无限供应，干净,,,,,,,,,
匿名用户,4,新开的店，人不多，服务还可以，就是有些时候可能催好几次,,,,,,,,,
蓝色雨danmit123,4,很好 服务真心赞 吃的不错 价格也能接受,,,,,,,,,
娃娃脸1991,5,服务好 环境好 味道好 值得去 俩大人一个小孩儿 吃饱了,,,,,,,,,
匿名用户,4,憋不住了，大箔不能吃多啊，多肠胃无不适,,,,,,,,,
Dmp43016923,5,服务周到，口味很爽，下次还去，必须去,,,,,,,,,
vivian822,4,不错，以前在悠唐吃过，这儿开了一家就更方便了！赞一个！,,,,,,,,,
yangwei8077,4,五花肉不错，牛舌太老了，精品肥牛好吃！,,,,,,,,,
MFa561028143,5,老去这里用餐，烤肉不用自己考、小菜、和调料都是免费无限量，真好、赞,,,,,,,,,
shN860675908,5,服务一流，上菜快，肉质新鲜，菜量大，强烈推荐,,,,,,,,,
霰雪蝶,5,推荐部队火锅，非常好吃，还有免费小菜！,,,,,,,,,
wsjc,4,服务很热情好久没吃到这莫新鲜的烤肉啦,,,,,,,,,
hjd269542151,5,环境很好，服务周到，总体满意。,,,,,,,,,
阿土仔718,4,不错，能吃饱，有一的能吃饱，时、道尚可,,,,,,,,,
笑笑肉,5,味道不错，服务很好，第一次吃，棒棒的，吃的套餐#韩时五花肉# #特级牛五花肉# #雪花3号#,,,,,,,,,
KIa318210780,4,服务非常好，不过不怎么是烤肉，反而像炸肉一样，所以味道差了一点,,,,,,,,,
一晴方觉夏深,4,挺好吃的，就是量有点少，油噼里啪啦的，哈哈,,,,,,,,,
hjd269542151,5,很棒，吃得很饱，服务周到，我很喜欢。,,,,,,,,,
匿名用户,5,花一块钱抢的劵，就吃上了特色鲜五花肉，超赞！,,,,,,,,,
panypp,4,环境和服务都不错。可以不用自己动手烤,,,,,,,,,
匿名用户,4,五花好吃，服务员给烤，还是不错的。,,,,,,,,,
wOT994166698,4,服务好，环境好，很好吃，很实惠。,,,,,,,,,
睡眠支配着,5,经常去世贸店吃，没想到在枫蓝国际也开了，环境好，服务棒，会经常去,,,,,,,,,
wangtian1128,5,服务周到，热情！南瓜粥真的不错，就是上菜有点慢！,,,,,,,,,
惢小胖子,5,很好 很棒 服务态度特别好 以后经常去,,,,,,,,,
马梓曈,5,服务很好.菜品很好！午餐必去之处,,,,,,,,,
xeR800579134,4,来了好几次了，不错，尤其服务，没的说！赞一个！,,,,,,,,,
leo_yi0726,5,环境优雅 服务态度好 菜品丰富,,,,,,,,,
匿名用户,3,一般般 肉还好 就是要土豆泥南瓜粥上的速度特别慢,,,,,,,,,
Ppt988814175,4,还好 还行 说得过去 就是他吧,,,,,,,,,
wangtian1128,4,不错，不过就是屋里有点热！总体感觉还好,,,,,,,,,
幸福着561,4,五花肉很好吃，服务也不错，主食不太好,,,,,,,,,
惢小胖子,5,很好 很棒 而且服务态度特别好,,,,,,,,,
Mxc934684105,3,味道还行，服务不错，环境好…….,,,,,,,,,
Gcj53112493,4,味道很不错 价格很实惠 还是可以团一团,,,,,,,,,
G2042,5,两个女生团购另外加了15块钱。吃的很好。很喜欢韩时的烤肉和辣白菜炒饭。超级美味。,,,,,,,,,
懒懒熊zq,3,服务员态度不是很好。极其不耐烦 态度恶劣,,,,,,,,,
eeM761852576,4,味道确实不错，还有人给烤挺好。,,,,,,,,,
匿名用户,5,套餐的量比较大，2人吃不完。服务员很勤快。,,,,,,,,,
nqR191533825,3,没有排队，服务很热情，菜品也不错，很好的团购！,,,,,,,,,
DzR630086905,3,还可以吧。以后还会来的啦。一般般啦的,,,,,,,,,
匿名用户,4,不错 新开的 以后有优惠还会来的,,,,,,,,,
Candydynasty,5,好吃，服务周到，小菜很多也很棒,,,,,,,,,
兰兰66880,4,环境好，服务到位，最主要的是烤五花肉超级好吃。,,,,,,,,,
little0301,4,吃的拌饭，味道没什么特别独特的，点了鸡翅，6个就50块啊，味道还行,,,,,,,,,
baP622284806,2,凡过回 回。公司的 红 v 吃 饭后哈哈 广告 土匪夫妇 v 吧 v。一个方法吃。,,,,,,,,,
王小鱼0928,5,我和老公已经两周来三次了，美味,,,,,,,,,
匿名用户,5,"菜品很棒，上菜很快，服务也很好，4人吃了253,结果团了两张券，省了50元，赞赞",,,,,,,,,
心菲所属,4,新店，不用排队，小菜南瓜粥无限续,,,,,,,,,
hanyanju102,5,菜不错，现在打折还是很值得，环境也很好，小菜无限吃,,,,,,,,,
寒月如雪006,5,真的很不错，这家烤肉店不用自己烤并且超级好吃，三人餐超级划算,,,,,,,,,
刘蕊848,4,吃得好，服务好hahahah#韩时五花肉# #雪花3号# #鲜五花肉# 味道也好还会再来的。推荐推荐,,,,,,,,,
lce403596384,4,团购超值，服务员很热情，五花肉不错。,,,,,,,,,
留渟,4,味道不错，环境也好。服务周到。,,,,,,,,,
wFE265170220,5,韩时服务特别好，口味也很棒，环境佳。,,,,,,,,,
Q小倩家,4,味道好吃。很正宗的烤肉。韩牛棒棒的,,,,,,,,,
红惑,3,很好 肉上的很快 量也正常 总之还不错,,,,,,,,,
黑精灵344,3,小贵 小贵的    晚上9点去的  服务不是很热情  可能是快下班了吧   理解  理解,,,,,,,,,
留渟,5,菜品，菜色都不错，味道也好。偏甜。,,,,,,,,,
witness3w,3,"味道还不错,环境很好，有烤肉米饭套餐，适合当工作餐",,,,,,,,,
爱寇寇,4,去的早没有等位，全程不用自己动手烤，服务很好。小菜也都好吃，总体来说不错，还会再去。,,,,,,,,,
ZhO757903447,4,味道不错，价格偏贵，南瓜粥好喝,,,,,,,,,
mum974768453,4,味道不错，可能太忙了，要的免费小菜上的有点慢。,,,,,,,,,
_qq4tz1386581065,5,服务超级好～全程不用自己动手～而且味道很赞#鲜五花肉#,,,,,,,,,
nancy爱,5,味道不错，环境也舒适，来的人很多,,,,,,,,,
prettyamanda,4,好吃的猪五花，很有特点。雪花三号肉质不太好，我们都不喜欢。,,,,,,,,,
匿名用户,3,味道服务不错，有点小贵，完全吃不饱啊,,,,,,,,,
G萌宝,4,环境还行，不用排队吃饭了，值得推荐,,,,,,,,,
BNW688160134,4,服务人员服务很周到，食品味道很不错。,,,,,,,,,
BNW688160134,5,服务人员服务很周到，食物味道很好。,,,,,,,,,
匿名用户,5,味道好，服务周到，下次还会去。,,,,,,,,,
NsU78822994,3,上菜很快，味道不错，服务很好，赞一个,,,,,,,,,
雨落如恋wangyu,4,很有特色的餐厅～服务员，用餐环境非常好，,,,,,,,,,
vIn127030760,4,服务员的态度十分不错，雪花牛肉好吃！,,,,,,,,,
雨落如恋wangyu,3,菜品很有创意，烤五花肉最好吃～服务很好～,,,,,,,,,
IEk586370149,3,还不错，打折后可以再来，不打折的话就算了。,,,,,,,,,
江家小慧2,5,今天看关门了，也不知道是怎么回事，东西还是不错的,,,,,,,,,
kiki46,3,味道不错，很好吃，环境也很好，离家比较近！,,,,,,,,,
爱爬床,4,挺好吃的，菜量挺大的，两个人吃的很撑,,,,,,,,,
rNt306838909,3,有点小贵，服务员说这个就是以前的香猪坊,,,,,,,,,
tbF909376292,3,味道不错，份量足足的，服务热情,,,,,,,,,
bAM125662161,5,服务很好！肉很好吃！很不错！团购很实惠,,,,,,,,,
Michael然,2,味道还可以，牛肉比较好吃，就是价格有点小贵,,,,,,,,,
EHA18810690329,4,好吃好吃哦！服务员态度超好！还专人负责烤肉呢！还可以免费续小菜啊！,,,,,,,,,
NEY260365873,3,一般吧，服务员新来的，挺木的！,,,,,,,,,
李文普741,4,饭菜品质还好，三口人吃饱了还要打包，不错,,,,,,,,,
NEY260365873,4,非常好，服务很周到！下次还会去！,,,,,,,,,
yuaishangyu,3,太热了，里面，空调不是很凉，居然没有大麦茶，石板挺好，不糊，肥牛很好吃，,,,,,,,,,
匿名用户,5,还不错 是新店，服务啥的都还好啦,,,,,,,,,
幸福着561,3,五花肉和金针菇牛肉卷味道很好，石锅拌饭和年糕拉面真的不好吃,,,,,,,,,
PgH972715140,4,不错，赠的小菜很多，孩子喝南瓜粥,,,,,,,,,
lQU844108108,4,环境不错，不过蛋糕面包种类比较少,,,,,,,,,
celine183533,3,鸡翅好吃，都不错，烤肉挺贵，299一份,,,,,,,,,
匿名用户,2,口味还可以，烤肉上的快，其他慢，优惠力度不大,,,,,,,,,
Jesse_H555,4,服务很好，现在正搞优惠活动，很实惠。,,,,,,,,,
Athena8432,3,第一次来，服务特别好，这次来服务一般了。菜品一般，雪花牛不怎么惊艳。,,,,,,,,,
大婷8023,5,,,,,,,,,,
田诗妤,5,,,,,,,,,,
匿名用户,3,不是一般地贵哦，凑够15个字啊！！！！,,,,,,,,,
chenhebing007,5,,,,,,,,,,
嗯呢博雅,4,,,,,,,,,,
mt502953961,4,,,,,,,,,,
匿名用户,3,hao,,,,,,,,,
CEw395656268,4,,,,,,,,,,
张保zhz,5,人多排队。,,,,,,,,,
Oyp18810119,5,疯狂打call，好吃不贵，服务真的超超超级好,,,,,,,,,
gcM736753599,4,南瓜粥很好喝，为了南瓜粥，去吃的烤肉 #南瓜粥#,,,,,,,,,
橘子姐1984,5,南瓜粥棒极了 服务很到位 环境也很好 很满意,,,,,,,,,
匿名用户,5,我们俩人吃的，吃的特别饱，很是满足，从小菜，南瓜粥，沙拉，，，，，都好好吃，服务员也特别辛苦的为我们烤肉，超值 #南瓜粥# #辣白菜炒饭# #鲜五花肉# #金针菇肥牛卷# #肥牛金针菇# #开胃小菜# #特色五花肉# #韩式泡菜# #海鲜汤# #小菜们# #蔬菜沙拉# #大麦茶# #烤猪五花# #泡菜烤肉# #生菜叶# #韩式炒饭# #海鲜豆腐汤# #萝卜泡菜#,,,,,,,,,
匿名用户,5,服务好,,,,,,,,,
独瞻黄昏雨,5,还行,,,,,,,,,
Bfp679482868,4,服务周到～,,,,,,,,,
FvU840439351,5,,,,,,,,,,
xurilove,4,味道还可以,,,,,,,,,
dQd931896445,5,还可以,,,,,,,,,
天涯沦落人821,4,挺好的,,,,,,,,,
gniJuiL679,4,撑死,,,,,,,,,
星空坤垚,4,,,,,,,,,,
匿名用户,5,非常好！,,,,,,,,,
wenredsky,5,很好吃哦,,,,,,,,,
匿名用户,5,,,,,,,,,,
匿名用户,5,,,,,,,,,,
肉肉小妖儿,4,,,,,,,,,,
GFQ662687526,4,,,,,,,,,,
匿名用户,4,,,,,,,,,,
匿名用户,4, #南瓜粥# #雪花牛肉#,,,,,,,,,
欣享饕餮,5,,,,,,,,,,
bKY206065473,4,挺好,,,,,,,,,
小宝哥546,5,,,,,,,,,,
saturat,5,非常好！,,,,,,,,,
cgs71233861,5,,,,,,,,,,
喵大爷v587,5,,,,,,,,,,
国安是冠军127,4,,,,,,,,,,
Lucy晶晶88,5,服务不错,,,,,,,,,
爱兜兜姣姣,5,大爱南瓜粥～,,,,,,,,,
wtp268566577,5,,,,,,,,,,
ovz850484987,5,物美价廉,,,,,,,,,
ONE十九爷,5,还不错,,,,,,,,,
匿名用户,5,烤肉套餐很实惠，南瓜粥很赞，五花牛肉很棒，服务热情。,,,,,,,,,
匿名用户,4,性价比太低,,,,,,,,,
饼饼1943,5,肥牛很好吃?,,,,,,,,,
乌衣6巷22号,5, #南瓜粥#,,,,,,,,,
浩浩妈2,5,,,,,,,,,,
中文qw,5,小刚服务特别好，口味特别好，环境特别好,,,,,,,,,
紫色薰依草1314,5,还不错,,,,,,,,,
初晴YY,5,哈哈哈哈 好多次啦 来了  好吃！！！南瓜汤！好喝！,,,,,,,,,
GDK710560454,5,好吃,,,,,,,,,
匿名用户,4,服务很好！,,,,,,,,,
匿名用户,5,"服务好，
环境好，
大酱汤太好了！",,,,,,,,,
OED495897319,5,,,,,,,,,,
吃货的世界0206,5,,,,,,,,,,
匿名用户,5,很好，非常好， 服务非常好，上菜很计时。小会姐姐非常好！,,,,,,,,,
韬中看雪,5,,,,,,,,,,
匿名用户,5,,,,,,,,,,
Ashao。。。,5, #南瓜粥#,,,,,,,,,
儿天,4,挺好,,,,,,,,,
hdb763222914,5,,,,,,,,,,
forever93mc,5,,,,,,,,,,
婷阿婷！！,3,还行吧,,,,,,,,,
InL759555997,5,,,,,,,,,,
Snowy_Days,5,略咸,,,,,,,,,
lina8504,5,,,,,,,,,,
ldz383644764,5,非常满意,,,,,,,,,
匿名用户,5,不错,,,,,,,,,
zora19871210,5,,,,,,,,,,
Desy～,5,还不错的～,,,,,,,,,
我是格桑花儿,5,,,,,,,,,,
yij721169189,5,不错，来了好多次…………………………,,,,,,,,,
意fighting,5,,,,,,,,,,
匿名用户,5,,,,,,,,,,
奋进的北漂,5,,,,,,,,,,
wwbbii,5,,,,,,,,,,
ADp282349375,5,,,,,,,,,,
樱木美子,5,,,,,,,,,,
newAmanda,5,好吃，服务态度特别好，南瓜粥好好喝，就是有点小贵……,,,,,,,,,
nVX948106446,5,,,,,,,,,,
吴月129,5,,,,,,,,,,
DsU780797185,5,环境不错，味道不错，哪哪都不错！,,,,,,,,,
yij721169189,5,不错， 去了几次了～～～～～五华最爱,,,,,,,,,
匿名用户,5,挺好吃的呢 挺好吃的啊，魁拔鳄鱼PS,,,,,,,,,
zhugang918,5,还不错了，就是有点慢！！！！！！,,,,,,,,,
qfr810291448,5,不错。够两个人吃的。。。。。。,,,,,,,,,
pUw527354158,5,服务棒棒哒，味道棒棒哒，下次还会去的,,,,,,,,,
溯井,5,好好好！特别喜欢！爱吃！！！特别南瓜粥！免费的！,,,,,,,,,
XuV734545823,5,棒棒哒，下次还会去的，啦啦啦啦！,,,,,,,,,
mountain和miemie,5,挺好吃的，服务也很周到，韩式烤肉吃过的里面算不错的,,,,,,,,,
lxv505518885,5,大家吃的很饱哈哈哈( ′▽` )?,,,,,,,,,
gBG324498702,4,还可以吧 小菜挺好吃的  可以不用团购  那套餐也可以,,,,,,,,,
QCw2999679,4,首先感到满意的是这里的服务，比起其它的烧烤店，这里的服务员要忙多了，味道也不错，量也蛮大的，总之在这里就餐很开心的！,,,,,,,,,
Bvq504438270,4,环境好，味道好，服务也很好，推荐,,,,,,,,,
匿名用户,2,口味一般 油烟太大 服务一般 肉质一般,,,,,,,,,
匿名用户,2,口味一般 服务一般 肉质一般 油烟太大,,,,,,,,,
匿名用户,5,很好很好很好太好了非常和好高温的,,,,,,,,,
匿名用户,4,很不错好吃服务也好很值得推荐不错不错,,,,,,,,,
CeL930402618,5,好，很好，特别好！方便快捷！好，很好，特别好！方便快捷！,,,,,,,,,
TgK550962897,5,这家餐厅很好，服务很好，免费的南瓜粥很好喝，,,,,,,,,,
Zuq948576062,4,地道的韩国菜，不喜欢姜的同学还是不要去的好,,,,,,,,,
lsy很乖,5,挺好的满意好吃的烤肉很快的考的,,,,,,,,,
小敏爱吃肉。。。,5,好好好好好，真的好吃，服务员的态度也很好,,,,,,,,,
匿名用户,5,,,,,,,,,,
wrv876243018,5,,,,,,,,,,
duyao0974,5,,,,,,,,,,
LRo533184537,4,,,,,,,,,,
stressing～,5,,,,,,,,,,
PaC914489850,5,,,,,,,,,,
匿名用户,5,,,,,,,,,,
mkk887416091,5,,,,,,,,,,
凯凯4659,5,,,,,,,,,,
xAR278965502,5,,,,,,,,,,
ZIP550130142,5,,,,,,,,,,
张钰0715,5,,,,,,,,,,
马然然324,5,,,,,,,,,,
YWH112010057,5,,,,,,,,,,
CcZ135981235,5,,,,,,,,,,
Wmw736154801,5,,,,,,,,,,
Wmw736154801,5,,,,,,,,,,
imz694133723,5,,,,,,,,,,
JIAHUIQIAN,5,,,,,,,,,,
bZY678074803,4,,,,,,,,,,
Zfh582777247,5,,,,,,,,,,
Zfh582777247,5,,,,,,,,,,
淼硕,5,,,,,,,,,,
木樨悠扬,5,,,,,,,,,,
hKz639502922,5,,,,,,,,,,
sFI535530915,5,,,,,,,,,,
WIA167571309,5,,,,,,,,,,
JCjcjc106465,5,,,,,,,,,,
YBD939118847,5,,,,,,,,,,
nmx—528,5,,,,,,,,,,
李松s,5,,,,,,,,,,
CTk782214732,5,,,,,,,,,,
Dkm71780305,5,,,,,,,,,,
Kle131329071,5,,,,,,,,,,
Ski729326755,5,,,,,,,,,,
石榴吼吼,5,,,,,,,,,,
bSj322373906,5,,,,,,,,,,
Ddh356741418,5,,,,,,,,,,
xAR278965502,5,,,,,,,,,,
开心大萝卜123,5,,,,,,,,,,
xAR278965502,5,,,,,,,,,,
启昶,5,,,,,,,,,,
gracesmile613,5,,,,,,,,,,
美丽新世界丿,4,,,,,,,,,,
WkC711277060,5,,,,,,,,,,
WkC711277060,5,,,,,,,,,,
JerryLou1412,5,,,,,,,,,,
uWX747522678,5,,,,,,,,,,
uWX747522678,5,,,,,,,,,,
wenwenlili,5,,,,,,,,,,
艾萨克北城,5,,,,,,,,,,
wenwenlili,5,,,,,,,,,,
EkV985803701,5,,,,,,,,,,
要是我年轻的时候,5,,,,,,,,,,
匿名用户,4,,,,,,,,,,
博小妮,5,,,,,,,,,,
oRg817768396,5,,,,,,,,,,
倩倩22097,5,,,,,,,,,,
深学习,5,,,,,,,,,,
zd717409029,5,,,,,,,,,,
匿名用户,5,,,,,,,,,,
wuO501589952,5,,,,,,,,,,
王王MBZo,5,,,,,,,,,,
我是阿狸喔～,5,,,,,,,,,,
wuO501589952,5,,,,,,,,,,
樱菲之雨,5,,,,,,,,,,
Eikoya,5,,,,,,,,,,
dlx400182514,5,,,,,,,,,,
昊哥钰妹,5,,,,,,,,,,
dlx400182514,5,,,,,,,,,,
zxX726972822,5,,,,,,,,,,
PyG740040970,5,,,,,,,,,,
haley2019,5,,,,,,,,,,
OKm548067986,5,,,,,,,,,,
OKm548067986,5,,,,,,,,,,
OKm548067986,5,,,,,,,,,,
户禹,5,,,,,,,,,,
